ID,Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Relevance,Search,Type_of_model,Type_of_model2,Experiment,Nutrient,Species,Temp_level,Nutrient_level,level_of_org,Pred_skill,interaction,what_to_predict
24,"van der Knaap, Y.A.M., de Graaf, M., van Ek, R., Witte, J.-P.M., Aerts, R., Bierkens, M.F.P., van Bodegom, P.M.",Potential impacts of groundwater conservation measures on catchment-wide vegetation patterns in a future climate,2015,Landscape Ecology,30,5,,855,869,,,10.1007/s10980-014-0142-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939997984&partnerID=40&md5=32a65eb8efb50b5edeefa2ab85d35723,Article,Scopus,2-s2.0-84939997984,0,1,,,,,,,,,,,
25,"Peck, M.A., Arvanitidis, C., ButenschÌ_n, M., Canu, D.M., Chatzinikolaou, E., Cucco, A., Domenici, P., Fernandes, J.A., Gasche, L., Huebert, K.B., Hufnagl, M., Jones, M.C., Kempf, A., Keyl, F., Maar, M., MahÌ©vas, S., Marchal, P., Nicolas, D., Pinnegar, J.K., Rivot, E., Rochette, S., Sell, A.F., Sinerchia, M., Solidoro, C., Somerfield, P.J., Teal, L.R., Travers-Trolet, M., van de Wolfshaar, K.E.",Projecting changes in the distribution and productivity of living marine resources: A critical review of the suite of modelling approaches used in the large European project VECTORS,2015,"Estuarine, Coastal and Shelf Science",,,,,,,,10.1016/j.ecss.2016.05.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975129749&partnerID=40&md5=27ea13a1c406e8d6532f847e2845859b,Article in Press,Scopus,2-s2.0-84975129749,0,1,,,,,,,,,,,
26,"Cross, W.F., Hood, J.M., Benstead, J.P., Huryn, A.D., Nelson, D.",Interactions between temperature and nutrients across levels of ecological organization,2015,Global Change Biology,21,3,,1025,1040,,12,10.1111/gcb.12809,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923034037&partnerID=40&md5=094b7ee054e6504899f44776105a5ea7,Review,Scopus,2-s2.0-84923034037,1,1,,,,,,,,,,,
27,"Tang, C., Li, Y., Jiang, P., Yu, Z., Acharya, K.","A coupled modeling approach to predict water quality in Lake Taihu, China: Linkage to climate change projections",2015,Journal of Freshwater Ecology,30,1,,59,73,,2,10.1080/02705060.2014.999360,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937640775&partnerID=40&md5=e04131f73a80af071a947e2918d4386b,Article,Scopus,2-s2.0-84937640775,1,1,,,,,,,,,,,
28,"Flanagan, N.E., Richardson, C.J., Ho, M.",Connecting differential responses of native and invasive riparian plants to climate change and environmental alteration,2015,Ecological Applications,25,3,,753,767,,4,10.1890/14-0767.1.sm,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926141799&partnerID=40&md5=6c62a9ffcc964b201eac07d80ac9f7b0,Article,Scopus,2-s2.0-84926141799,1,1,,,,,,,,,,,
29,"Penk, M., Donohue, I., RÌ©coules, V., Irvine, K.",Elevated temperatures interact with habitat quality to undermine survival of ectotherms in climatic refugia,2015,Diversity and Distributions,21,2,,200,210,,4,10.1111/ddi.12259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920843917&partnerID=40&md5=7a7bbde28bd735fc3e7d0ebcb28f2bdb,Article,Scopus,2-s2.0-84920843917,0,1,,,,,,,,,,,
30,"Long, W., Xiong, M., Zang, R., Schamp, B.S., Yang, X., Ding, Y., Huang, Y., Xiang, Y.",Changes in Patterns of Species Co-occurrence across Two Tropical Cloud Forests Differing in Soil Nutrients and Air Temperature,2015,Biotropica,47,4,,416,423,,1,10.1111/btp.12235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936997472&partnerID=40&md5=3f0356b412ec491bbddb2455d4fbc0f5,Article,Scopus,2-s2.0-84936997472,1,1,,,,,,,,,,,
31,"Song, M., Liu, Y.Z., Jing, S.S.",Response of soil nematodes to climate change: A review,2015,Shengtai Xuebao/ Acta Ecologica Sinica,35,20,,6857,6867,,,10.5846/stxb201404220796,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945895302&partnerID=40&md5=05897d760803b44b51c369d65924a1ee,Article,Scopus,2-s2.0-84945895302,0,1,,,,,,,,,,,
32,"Veen, G.F., Sundqvist, M.K., Wardle, D.A.",Environmental factors and traits that drive plant litter decomposition do not determine home-field advantage effects,2015,Functional Ecology,29,7,,981,991,,2,10.1111/1365-2435.12421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935755756&partnerID=40&md5=99c38dc61010614f720e0de77b9c9470,Article,Scopus,2-s2.0-84935755756,0,1,,,,,,,,,,,
33,"Gray, S.M., Poisot, T., Harvey, E., Mouquet, N., Miller, T.E., Gravel, D.",Temperature and trophic structure are driving microbial productivity along a biogeographical gradient,2015,Ecography,,,,,,,,10.1111/ecog.01748,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949843755&partnerID=40&md5=dbb5143e1e0200fdbee748509f107261,Article in Press,Scopus,2-s2.0-84949843755,0,1,,,,,,,,,,,
34,"Welter, J.R., Benstead, J.P., Cross, W.F., Hood, J.M., Huryn, A.D., Johnson, P.W., Williamson, T.J.",Does N&lt;inf&gt;2&lt;/inf&gt; fixation amplify the temperature dependence of ecosystem metabolism?,2015,Ecology,96,3,,603,610,,5,10.1890/14-1667.1.sm,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929660968&partnerID=40&md5=dc7d644da06ba76e4b935fb773bd3f97,Article,Scopus,2-s2.0-84929660968,0,1,,,,,,,,,,,
35,"Jamieson, M.A., Schwartzberg, E.G., Raffa, K.F., Reich, P.B., Lindroth, R.L.",Experimental climate warming alters aspen and birch phytochemistry and performance traits for an outbreak insect herbivore,2015,Global Change Biology,21,7,,2698,2710,,2,10.1111/gcb.12842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931007911&partnerID=40&md5=4a84e9349e34faa6769bd01c41d56f51,Article,Scopus,2-s2.0-84931007911,0,1,,,,,,,,,,,
36,"Pureswaran, D.S., De GrandprÌ©, L.D., ParÌ©, D., Taylor, A., Barrette, M., Morin, H., RÌ©gniÌ¬re, J., Kneeshaw, D.D.",Climate-induced changes in host tree-insect phenology may drive ecological state-shift in boreal forests,2015,Ecology,96,6,,1480,1491,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930848832&partnerID=40&md5=0a6cc5a6152957ffdd549801d21a4f18,Article,Scopus,2-s2.0-84930848832,0,1,,,,,,,,,,,
37,"Voight, J.R.",Xylotrophic bivalves: Aspects of their biology and the impacts of humans,2015,Journal of Molluscan Studies,81,2,,175,186,,3,10.1093/mollus/eyv008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929623805&partnerID=40&md5=03121eb6854af568cab50340cef1941a,Review,Scopus,2-s2.0-84929623805,0,1,,,,,,,,,,,
